"title","budget","genre","mpaa","runtimes","rating"
"Avalon","8000000","20","4","107","6.6"
"Avatar","237000000","20","3","162","7.9"
"Avengers: Age of Ultron","250000000","20","3","141","9.4"
"Avenging Angelo","17000000","20","4","97","5.2"
"Avgust. Vosmogo","16000000","20","4","120","5.7"
"AVP: Alien vs. Predator","60000000","20","3","101","5.6"
"AVPR: Aliens vs Predator - Requiem","40000000","20","4","102","4.7"
"Awake","8600000","14","4","84","6.5"
"Away We Go","17000000","5","4","98","7.1"
"Babel","25000000","4","4","143","7.5"
"Baby Boy","16000000","5","4","130","6.4"
"Baby Geniuses","18000000","5","2","97","2.5"
"Baby Mama","30000000","5","3","99","6.1"
"Baby on Board","8000000","5","4","95","4.2"
"Baby's Day Out","50000000","13","2","99","5.9"
"Babylon A.D.","70000000","20","3","90","5.6"
"Babysitters Beware","150000","5","2","72","4.6"
"Bacheha-Ye aseman","180000","4","2","89","8.5"
"Bachelorette","3000000","5","4","87","5.3"
"Back in the Day","5500000","20","4","103","4.4"
"Bacterium","30000","2","3","79","5.0"
"Bad Asses on the Bayou","5300000","20","4","85","5.2"
"Bad Blood... the Hunger","935000","2","4","107","5.2"
"Bad Boys","19000000","20","4","118","6.8"
"Bad Boys II","130000000","20","4","147","6.5"
"Bad Company","70000000","20","3","125","5.6"
"Bad Lieutenant","1000000","14","5","91","7.1"
"Bad Moon","7000000","2","4","80","5.5"
"Bad News Bears","30000000","5","3","113","5.8"
"Bad Santa","18000000","5","4","91","7.1"
"Bad Teacher","20000000","5","4","92","5.7"
"Bad Words","9500000","5","4","89","6.7"
"Badland","10000000","4","4","165","6.2"
"Bagboy","1600000","5","3","94","4.6"
"Baggage","2000000","4","2","110","5.9"
"Baggage Claim","8500000","5","3","96","5.0"
"Bait","35000000","20","4","119","5.7"
"Bakjwi","5000000","4","4","133","7.2"
"Ballistic: Ecks vs. Sever","70000000","20","4","91","3.6"
"Bamboozled","10000000","5","4","135","6.4"
"Bananas","2000000","5","3","82","7.1"
"Bandido","2400000","20","4","95","5.0"
"Bandits","80000000","5","3","123","6.6"
"Bandolero!","4450000","20","3","106","6.5"
"Bandslam","20000000","5","2","111","6.4"
"Bangkok Dangerous","40000000","20","4","99","5.4"
"Banshee Chapter","950000","2","4","87","5.5"
"Baptists at Our Barbecue","500000","5","2","92","5.7"
"Barbershop","12000000","5","3","102","6.3"
"Barbershop 2: Back in Business","18000000","5","3","106","5.6"
"Barcelona","3200000","5","3","101","7.0"
"Bare Knuckles","600000","20","3","90","4.2"
"Barefoot","6000000","5","3","90","6.6"
"Barnyard","51000000","19","2","90","5.6"
"Bart Got a Room","2000000","5","3","80","5.8"
"Barton Fink","9000000","4","4","116","7.7"
"Basic","50000000","20","4","98","6.5"
"Basic Instinct","49000000","4","4","128","6.9"
"Basic Instinct 2","70000000","4","4","114","4.2"
"Basil","10000000","4","4","113","6.1"
"Basquiat","3300000","11","4","108","6.9"
"Batman & Robin","125000000","20","3","125","3.6"
"Batman Begins","150000000","20","3","128","8.3"
"Batman Forever","100000000","20","3","121","5.4"
"Batman Returns","80000000","20","3","126","7.0"
"Batman: Mask of the Phantasm","6000000","20","2","76","7.9"
"Bats","6500000","2","3","91","3.6"
"Battle in Seattle","8000000","20","4","99","6.7"
"Battle Los Angeles","70000000","20","3","116","5.8"
"Battle of the Year","20000000","12","3","110","4.9"
