"title","budget","genre","mpaa","runtimes","gross"
"Class Act","7500000","5","3","98","13272113"
"Cleaner","25000000","14","4","88","4014118"
"Clear and Present Danger","45000000","20","3","141","122187717"
"Clerks","230000","5","4","92","3151130"
"Click","70000000","5","3","107","137355633"
"Cliffhanger","65000000","20","4","112","84049211"
"Clockers","25000000","14","4","128","13040603"
"Closer","27000000","4","4","104","115505027"
"Closet Land","4000000","4","4","94","259012"
"Cloudy with a Chance of Meatballs","100000000","19","2","90","124870275"
"Clueless","12000000","5","3","97","56631572"
"Cold Mountain","79000000","4","4","154","95636509"
"Collateral","65000000","14","4","120","101005703"
"Collateral Damage","85000000","20","4","108","40077257"
"Colombiana","40000000","20","3","112","5445710"
"Color of Night","40000000","4","4","121","19721814"
"Con Air","75000000","20","4","115","101117573"
"Conan the Barbarian","70000000","20","4","113","21295021"
"Confessions of a Teenage Drama Queen","15000000","5","2","89","330512962004"
"Confidence","15000000","14","4","97","410000002003"
"Congo","50000000","20","3","109","81022101"
"Consenting Adults","18000000","14","4","99","21591728"
"Conspiracy Theory","75000000","20","4","135","75982834"
"Contact","90000000","4","2","150","100920329"
"Control","4500000","11","4","122","7824260"
"Conversations with Other Women","450000","5","4","84","369854"
"Cool Runnings","15000000","13","2","98","68856263"
"Copycat","20000000","14","4","123","32051917"
"Coraline","60000000","19","2","100","75286229"
"Corpse Bride","40000000","19","2","77","53359111"
"Country Strong","15000000","4","3","117","20218921"
"Couples Retreat","60000000","5","3","113","109205660"
"Courage Under Fire","46000000","4","4","117","59031057"
"Courageous","2000000","4","3","129","48157"
"Coyote Ugly","45000000","5","3","100","113916474"
"Cradle 2 the Grave","30000000","20","4","101","56489558"
"Crash","9000000","4","5","100","2038450"
"Crazy, Stupid, Love.","50000000","5","3","118","84351197"
"Crimson Tide","53000000","20","4","123","91400000"
"Crocodile Dundee in Los Angeles","21150000","13","2","92","25635682"
"Cronos","2000000","2","4","94","621392"
"Crooklyn","14000000","5","3","115","13640000"
"Crossroads","12000000","5","3","93","61141030"
"Cruel Intentions","10500000","4","4","97","38328567"
"Cry_Wolf","1000000","4","3","90","15585495"
"Cube","365000","6","4","90","501818"
"Curse of the Starving Class","12577385","4","4","102","23988427"
"Cursed","35000000","5","3","97","19297522"
"Cutthroat Island","98000000","20","3","124","10017322"
"D-Tox","55000000","14","4","96","79161"
"Da wan","3300000","5","2","100","42000000"
"Daddy Day Care","60000000","5","2","92","104297061"
"Dallas Buyers Club","5000000","11","4","117","27298285"
"Dancer in the Dark","12800000","14","4","140","381533"
"Dante's Peak","116000000","20","3","108","67127760"
"Daredevil","78000000","20","3","103","1787800002003"
"Dark City","27000000","6","4","100","14378331"
"Dark Shadows","100000000","5","3","113","79727149"
"Dark Water","30000000","4","3","105","25473352"
"Darkness","10600000","2","3","103","22163442"
"Darkness Falls","11000000","2","3","86","32551396"
"Das Boot","14000000","13","4","149","5724261997"
"Dawn of the Dead","26000000","20","4","101","59020957"
"Dawn of the Planet of the Apes","170000000","20","3","130","208545589"
"Day of the Dead","18000000","20","4","86","301771"
"Daylight","80000000","20","3","114","33023469"
"Dazed and Confused","6900000","5","4","102","7993039"
"Dead Again","15000000","17","4","107","38016380"
"Dead Man","9000000","4","4","121","1037847"
"Dead Man Walking","11000000","14","4","122","39025000"
"Dead Presidents","10000000","14","4","119","24200000"
"Dead Silence","20000000","2","4","92","22217407"
"Death and the Maiden","12000000","4","4","103","2104000"
"Death Becomes Her","55000000","5","3","104","58422650"
"Death of a President","2000000","14","4","97","519086"
"Death Race","45000000","20","4","111","36316032"
"Death Wish V: The Face of Death","5000000","20","4","95","1702394"
"Deception","25000000","14","4","107","4550002008"
"Deep Blue Sea","60000000","20","4","105","91000000"
"Deep Impact","75000000","20","3","120","140464664"
"Deep Rising","45000000","20","4","106","11203026"
"Defendor","3500000","5","4","95","44462"
"Deja Vu","75000000","20","3","126","180557550"
"Delicatessen","24000000","5","4","99","1794187"
"Delivery Man","26000000","5","3","105","30664106"
"Dellamorte Dellamore","4000000","5","4","105","253969"
"Demolition Man","57000000","20","4","115","58055768"
"Des hommes et des dieux","4000000","4","3","122","3954651"
"Desperado","7000000","20","4","104","25625110"
"Desperate Measures","50000000","20","4","100","807836"
"Despicable Me 2","76000000","19","2","98","368061265"
"Detroit Rock City","15000000","5","4","95","4217115"
"Deuce Bigalow: Male Gigolo","17000000","5","4","88","65538755"
"Devil in a Blue Dress","27000000","20","4","102","16030096"
"Devil's Advocate","57000000","4","4","144","1529446601998"
"Di Renjie: Tong tian di guo","13000000","20","3","119","459836"
"Diary of a Mad Black Woman","5500000","5","3","116","50633099"
"Diary of a Wimpy Kid","15000000","5","2","94","64003625"
"Diary of a Wimpy Kid: Dog Days","22000000","5","2","94","49008662"
"Diary of a Wimpy Kid: Rodrick Rules","21000000","5","2","99","52698535"
"Diary of the Dead","2000000","2","4","95","958961"
"Die Another Day","142000000","20","3","133","32651862"
"Die Hard: With a Vengeance","90000000","20","4","131","100012499"
"Digimon: The Movie","5000000","20","2","88","166431912001"
"Dinosaur","127500000","13","2","82","354248063"
"Dirty Dancing: Havana Nights","25000000","4","3","86","14161590"
"Disclosure","32000000","4","4","128","83015089"
"District 9","30000000","20","4","112","115646235"
"Divergent","85000000","13","3","139","150947895"
"Divine Secrets of the Ya-Ya Sisterhood","27000000","4","3","116","69599016"
"Django Unchained","100000000","22","4","165","162805434"
"Dnevnoy dozor","4200000","20","4","146","884504721"
"DOA: Dead or Alive","21000000","20","3","87","25494"
"Doctor Dolittle","71500000","5","3","85","144156605"
"Doctor Zhivago","11000000","4","3","197","1117219101965"
"Dodgeball: A True Underdog Story","20000000","5","3","92","114326736"
"Dogma","10000000","13","4","130","281525258"
"Dolphin Tale","37000000","4","2","113","72286779"
"Domestic Disturbance","53000000","14","3","89","592492942002"
"Dominion: Prequel to the Exorcist","30000000","4","4","117","251495"
"Don Jon","6000000","5","4","90","24477704"
"Don Juan DeMarco","25000000","5","3","97","22150451"
"Don't Say a Word","50000000","14","4","113","55001642"
"Donnie Brasco","35000000","11","4","127","41909762"
"Donnie Darko","4500000","4","4","133","573442004"
"Double Dragon","7850000","20","3","96","2341309"
"Double Impact","15000000","20","4","110","30102717"
"Double Jeopardy","70000000","14","4","105","116741558"
"Double Team","30000000","20","4","93","481383371998"
"Doubt","20000000","4","3","104","2704347"
"Down Time","20000","14","4","90","30000002005"
"Down to Earth","30000000","5","3","87","64186502"
"Dr. Dolittle 2","72000000","5","2","87","112952899"
"Dr. Jekyll and Ms. Hyde","8000000","5","3","90","2763020"
"Dr. Seuss' The Cat in the Hat","109000000","13","2","82","101149285"
